#  step      rmse_val    rmse_trn    rmse_f_val  rmse_f_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
      0      4.93e+01    1.23e+01      1.56e+00    3.89e-01    5.0e-04
     10      5.71e+01    1.54e+01      1.81e+00    4.88e-01    5.0e-04
     20      4.72e+01    7.35e+00      1.49e+00    2.32e-01    5.0e-04
     30      4.52e+01    4.87e+00      1.43e+00    1.54e-01    5.0e-04
     40      5.01e+01    3.57e+00      1.58e+00    1.13e-01    5.0e-04
     50      5.36e+01    4.74e+00      1.70e+00    1.50e-01    5.0e-04
     60      5.81e+01    5.00e+00      1.84e+00    1.58e-01    5.0e-04
     70      5.08e+01    3.27e+00      1.61e+00    1.03e-01    5.0e-04
     80      4.70e+01    4.63e+00      1.48e+00    1.46e-01    5.0e-04
     90      5.55e+01    4.30e+00      1.76e+00    1.36e-01    5.0e-04
    100      5.15e+01    7.44e+00      1.63e+00    2.35e-01    5.0e-04
    110      4.61e+01    6.27e+00      1.46e+00    1.98e-01    5.0e-04
    120      4.07e+01    3.16e+00      1.29e+00    9.99e-02    5.0e-04
    130      4.68e+01    4.64e+00      1.48e+00    1.47e-01    5.0e-04
    140      4.46e+01    5.08e+00      1.41e+00    1.61e-01    5.0e-04
    150      4.52e+01    6.49e+00      1.43e+00    2.05e-01    5.0e-04
    160      4.46e+01    4.69e+00      1.41e+00    1.48e-01    5.0e-04
    170      4.75e+01    5.98e+00      1.50e+00    1.89e-01    5.0e-04
    180      4.60e+01    5.73e+00      1.46e+00    1.81e-01    5.0e-04
    190      4.14e+01    5.05e+00      1.31e+00    1.60e-01    5.0e-04
    200      4.82e+01    3.12e+00      1.52e+00    9.85e-02    5.0e-04
    210      3.82e+01    3.32e+00      1.21e+00    1.05e-01    5.0e-04
    220      5.44e+01    4.25e+00      1.72e+00    1.34e-01    5.0e-04
    230      4.68e+01    4.45e+00      1.48e+00    1.41e-01    5.0e-04
    240      5.94e+01    5.52e+00      1.88e+00    1.74e-01    5.0e-04
    250      4.46e+01    5.08e+00      1.41e+00    1.60e-01    5.0e-04
    260      4.81e+01    4.93e+00      1.52e+00    1.56e-01    5.0e-04
    270      4.57e+01    5.03e+00      1.45e+00    1.59e-01    5.0e-04
    280      5.39e+01    5.31e+00      1.70e+00    1.68e-01    5.0e-04
    290      4.94e+01    5.99e+00      1.56e+00    1.90e-01    5.0e-04
    300      4.24e+01    4.22e+00      1.34e+00    1.34e-01    5.0e-04
    310      4.71e+01    4.78e+00      1.49e+00    1.51e-01    5.0e-04
    320      4.07e+01    3.26e+00      1.29e+00    1.03e-01    5.0e-04
    330      4.83e+01    2.58e+00      1.53e+00    8.15e-02    5.0e-04
    340      4.62e+01    3.24e+00      1.46e+00    1.03e-01    5.0e-04
    350      5.45e+01    5.40e+00      1.72e+00    1.71e-01    5.0e-04
    360      5.02e+01    5.36e+00      1.59e+00    1.70e-01    5.0e-04
    370      4.91e+01    6.13e+00      1.55e+00    1.94e-01    5.0e-04
    380      4.50e+01    9.04e+00      1.42e+00    2.86e-01    5.0e-04
    390      5.42e+01    4.74e+00      1.72e+00    1.50e-01    5.0e-04
    400      5.02e+01    5.45e+00      1.59e+00    1.72e-01    5.0e-04
    410      5.10e+01    2.73e+00      1.61e+00    8.65e-02    5.0e-04
    420      4.39e+01    5.51e+00      1.39e+00    1.74e-01    5.0e-04
    430      4.44e+01    4.61e+00      1.40e+00    1.46e-01    5.0e-04
    440      5.01e+01    4.38e+00      1.58e+00    1.38e-01    5.0e-04
    450      4.52e+01    6.19e+00      1.43e+00    1.96e-01    5.0e-04
    460      3.96e+01    3.63e+00      1.25e+00    1.15e-01    5.0e-04
    470      4.75e+01    6.16e+00      1.50e+00    1.95e-01    5.0e-04
    480      4.81e+01    4.57e+00      1.52e+00    1.44e-01    5.0e-04
    490      5.70e+01    5.38e+00      1.80e+00    1.70e-01    5.0e-04
    500      4.94e+01    5.28e+00      1.56e+00    1.67e-01    5.0e-04
    510      5.21e+01    6.81e+00      1.65e+00    2.15e-01    5.0e-04
    520      4.98e+01    9.28e+00      1.58e+00    2.93e-01    5.0e-04
    530      5.01e+01    3.11e+00      1.59e+00    9.84e-02    5.0e-04
    540      4.19e+01    4.30e+00      1.32e+00    1.36e-01    5.0e-04
    550      4.56e+01    7.96e+00      1.44e+00    2.52e-01    5.0e-04
    560      5.42e+01    3.87e+00      1.71e+00    1.22e-01    5.0e-04
    570      5.32e+01    4.62e+00      1.68e+00    1.46e-01    5.0e-04
    580      4.97e+01    3.53e+00      1.57e+00    1.12e-01    5.0e-04
    590      5.44e+01    4.46e+00      1.72e+00    1.41e-01    5.0e-04
    600      5.77e+01    4.42e+00      1.83e+00    1.40e-01    5.0e-04
    610      4.95e+01    3.24e+00      1.57e+00    1.02e-01    5.0e-04
    620      5.05e+01    4.34e+00      1.60e+00    1.37e-01    5.0e-04
    630      4.69e+01    3.28e+00      1.48e+00    1.04e-01    5.0e-04
    640      4.96e+01    5.32e+00      1.57e+00    1.68e-01    5.0e-04
    650      4.89e+01    3.93e+00      1.55e+00    1.24e-01    5.0e-04
    660      4.78e+01    5.36e+00      1.51e+00    1.69e-01    5.0e-04
    670      5.61e+01    5.01e+00      1.77e+00    1.58e-01    5.0e-04
    680      5.11e+01    4.91e+00      1.62e+00    1.55e-01    5.0e-04
    690      4.96e+01    4.90e+00      1.57e+00    1.55e-01    5.0e-04
    700      5.29e+01    5.66e+00      1.67e+00    1.79e-01    5.0e-04
    710      5.37e+01    3.57e+00      1.70e+00    1.13e-01    5.0e-04
    720      5.06e+01    4.06e+00      1.60e+00    1.28e-01    5.0e-04
    730      4.64e+01    3.84e+00      1.47e+00    1.21e-01    5.0e-04
    740      5.04e+01    5.64e+00      1.59e+00    1.78e-01    5.0e-04
    750      4.87e+01    4.15e+00      1.54e+00    1.31e-01    5.0e-04
    760      4.60e+01    2.88e+00      1.45e+00    9.12e-02    5.0e-04
    770      4.64e+01    7.47e+00      1.47e+00    2.36e-01    5.0e-04
    780      5.25e+01    4.60e+00      1.66e+00    1.45e-01    5.0e-04
    790      4.03e+01    5.67e+00      1.27e+00    1.79e-01    5.0e-04
    800      5.22e+01    3.48e+00      1.65e+00    1.10e-01    5.0e-04
    810      4.80e+01    6.15e+00      1.52e+00    1.94e-01    5.0e-04
    820      4.79e+01    2.66e+00      1.51e+00    8.41e-02    5.0e-04
    830      4.78e+01    4.95e+00      1.51e+00    1.56e-01    5.0e-04
    840      4.22e+01    3.22e+00      1.33e+00    1.02e-01    5.0e-04
    850      4.87e+01    5.37e+00      1.54e+00    1.70e-01    5.0e-04
    860      5.16e+01    4.51e+00      1.63e+00    1.43e-01    5.0e-04
    870      5.25e+01    5.36e+00      1.66e+00    1.69e-01    5.0e-04
    880      4.94e+01    2.85e+00      1.56e+00    9.00e-02    5.0e-04
    890      5.08e+01    3.79e+00      1.60e+00    1.20e-01    5.0e-04
    900      4.65e+01    4.95e+00      1.47e+00    1.56e-01    5.0e-04
    910      5.11e+01    3.94e+00      1.62e+00    1.25e-01    5.0e-04
    920      4.57e+01    5.60e+00      1.45e+00    1.77e-01    5.0e-04
    930      6.03e+01    3.82e+00      1.91e+00    1.21e-01    5.0e-04
    940      5.06e+01    4.60e+00      1.60e+00    1.46e-01    5.0e-04
    950      5.21e+01    4.16e+00      1.65e+00    1.32e-01    5.0e-04
    960      5.27e+01    3.01e+00      1.67e+00    9.51e-02    5.0e-04
    970      4.85e+01    3.46e+00      1.53e+00    1.09e-01    5.0e-04
    980      4.94e+01    7.20e+00      1.56e+00    2.28e-01    5.0e-04
    990      4.47e+01    6.64e+00      1.41e+00    2.10e-01    5.0e-04
   1000      4.50e+01    4.71e+00      1.42e+00    1.49e-01    5.0e-04
   1010      4.44e+01    5.69e+00      1.40e+00    1.80e-01    5.0e-04
   1020      5.31e+01    5.55e+00      1.68e+00    1.75e-01    5.0e-04
   1030      4.94e+01    6.81e+00      1.56e+00    2.15e-01    5.0e-04
   1040      4.61e+01    4.97e+00      1.46e+00    1.57e-01    5.0e-04
   1050      4.74e+01    2.23e+00      1.50e+00    7.04e-02    5.0e-04
   1060      4.81e+01    4.41e+00      1.52e+00    1.40e-01    5.0e-04
   1070      4.67e+01    4.05e+00      1.48e+00    1.28e-01    5.0e-04
   1080      5.02e+01    3.89e+00      1.59e+00    1.23e-01    5.0e-04
   1090      4.21e+01    4.92e+00      1.33e+00    1.56e-01    5.0e-04
   1100      4.28e+01    4.52e+00      1.35e+00    1.43e-01    5.0e-04
   1110      4.07e+01    3.80e+00      1.29e+00    1.20e-01    5.0e-04
   1120      4.57e+01    4.52e+00      1.45e+00    1.43e-01    5.0e-04
   1130      5.56e+01    3.97e+00      1.76e+00    1.26e-01    5.0e-04
   1140      4.58e+01    2.81e+00      1.45e+00    8.87e-02    5.0e-04
   1150      4.83e+01    4.81e+00      1.53e+00    1.52e-01    5.0e-04
   1160      5.01e+01    4.10e+00      1.59e+00    1.30e-01    5.0e-04
   1170      4.89e+01    2.24e+00      1.55e+00    7.09e-02    5.0e-04
   1180      4.98e+01    4.98e+00      1.58e+00    1.58e-01    5.0e-04
   1190      4.65e+01    3.26e+00      1.47e+00    1.03e-01    5.0e-04
   1200      4.58e+01    3.47e+00      1.45e+00    1.10e-01    5.0e-04
   1210      4.83e+01    1.82e+00      1.53e+00    5.76e-02    5.0e-04
   1220      4.99e+01    2.32e+00      1.58e+00    7.34e-02    5.0e-04
   1230      4.36e+01    5.63e+00      1.38e+00    1.78e-01    5.0e-04
   1240      4.97e+01    4.55e+00      1.57e+00    1.44e-01    5.0e-04
   1250      4.25e+01    6.19e+00      1.34e+00    1.96e-01    5.0e-04
   1260      4.52e+01    2.56e+00      1.43e+00    8.10e-02    5.0e-04
   1270      4.84e+01    4.08e+00      1.53e+00    1.29e-01    5.0e-04
   1280      4.63e+01    5.43e+00      1.46e+00    1.72e-01    5.0e-04
   1290      5.24e+01    4.83e+00      1.66e+00    1.53e-01    5.0e-04
   1300      5.62e+01    5.14e+00      1.78e+00    1.63e-01    5.0e-04
   1310      4.58e+01    5.52e+00      1.45e+00    1.74e-01    5.0e-04
   1320      5.49e+01    2.63e+00      1.73e+00    8.31e-02    5.0e-04
   1330      4.48e+01    4.11e+00      1.42e+00    1.30e-01    5.0e-04
   1340      5.58e+01    6.99e+00      1.77e+00    2.21e-01    5.0e-04
   1350      5.11e+01    4.81e+00      1.62e+00    1.52e-01    5.0e-04
   1360      4.61e+01    3.01e+00      1.46e+00    9.52e-02    5.0e-04
   1370      3.90e+01    3.04e+00      1.23e+00    9.61e-02    5.0e-04
   1380      4.99e+01    4.83e+00      1.58e+00    1.53e-01    5.0e-04
   1390      4.38e+01    4.46e+00      1.38e+00    1.41e-01    5.0e-04
   1400      6.22e+01    3.47e+00      1.97e+00    1.10e-01    5.0e-04
   1410      4.92e+01    3.78e+00      1.56e+00    1.19e-01    5.0e-04
   1420      4.14e+01    3.73e+00      1.31e+00    1.18e-01    5.0e-04
   1430      4.42e+01    4.47e+00      1.40e+00    1.41e-01    5.0e-04
   1440      4.70e+01    4.73e+00      1.48e+00    1.49e-01    5.0e-04
   1450      5.41e+01    3.69e+00      1.71e+00    1.17e-01    5.0e-04
   1460      5.91e+01    3.15e+00      1.87e+00    9.96e-02    5.0e-04
   1470      4.81e+01    6.56e+00      1.52e+00    2.07e-01    5.0e-04
   1480      4.59e+01    2.73e+00      1.45e+00    8.64e-02    5.0e-04
   1490      4.78e+01    3.56e+00      1.51e+00    1.13e-01    5.0e-04
   1500      4.48e+01    5.50e+00      1.42e+00    1.74e-01    5.0e-04
   1510      5.01e+01    4.16e+00      1.58e+00    1.32e-01    5.0e-04
   1520      5.10e+01    3.67e+00      1.61e+00    1.16e-01    5.0e-04
   1530      4.90e+01    4.45e+00      1.55e+00    1.41e-01    5.0e-04
   1540      5.49e+01    3.05e+00      1.74e+00    9.66e-02    5.0e-04
   1550      4.80e+01    6.62e+00      1.52e+00    2.09e-01    5.0e-04
   1560      4.52e+01    5.50e+00      1.43e+00    1.74e-01    5.0e-04
   1570      4.71e+01    4.49e+00      1.49e+00    1.42e-01    5.0e-04
   1580      5.16e+01    5.12e+00      1.63e+00    1.62e-01    5.0e-04
   1590      4.49e+01    6.17e+00      1.42e+00    1.95e-01    5.0e-04
   1600      5.07e+01    3.51e+00      1.60e+00    1.11e-01    5.0e-04
   1610      4.33e+01    5.93e+00      1.37e+00    1.87e-01    5.0e-04
